code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,2.6583436040877,125,37.16,39.2,68,68.3088235294118,32.3529411764706,122.270160665613,0.174886046677025,15.5301610200526
EURUSD,15-Apr-2002,31-Jan-2020,3.67930712193518,129,36.0077519379845,35.6589147286822,64,72.578125,37.5,154.928982573015,0.21023179201986,14.9811082974759
GBPUSD,15-Apr-2002,31-Jan-2020,-0.154371672129838,144,32.2569444444444,28.4722222222222,72,64.5138888888889,29.1666666666667,100.453496054599,-0.00958848078287094,13.6916904408831
NZDUSD,15-Apr-2002,31-Jan-2020,4.19655719173699,123,37.7642276422764,37.3983739837398,63,73.7301587301587,39.6825396825397,144.914060633519,0.269289361140069,16.4573726494883
USDCAD,15-Apr-2002,31-Jan-2020,0.3138267626146,130,35.7307692307692,30.7692307692308,67,69.3283582089552,34.3283582089552,177.636880281409,0.0182265396472931,14.6893433799785
USDCHF,15-Apr-2002,31-Jan-2020,-2.60695475540038,132,35.1893939393939,34.0909090909091,69,67.3188405797101,31.8840579710145,252.734533863603,-0.0871716723345676,14.1644499461787
USDJPY,15-Apr-2002,31-Jan-2020,1.08833037638809,136,34.1544117647059,33.0882352941176,66,70.3787878787879,34.8484848484849,12528.65811915,0.0799843343775367,13.7800751082466
USDNOK,15-Apr-2002,31-Jan-2020,4.30069619910407,121,38.3884297520661,38.0165289256198,69,67.3188405797101,34.7826086956522,1237.47356657902,0.28296292287847,15.932908663661
USDSEK,15-Apr-2002,31-Jan-2020,1.99657549982415,132,35.1893939393939,34.8484848484849,68,68.3088235294118,35.2941176470588,1288.77278102235,0.121403256394256,14.671903647648
USDBRL,12-Apr-2002,31-Jan-2020,7.50328796980737,123,37.7642276422764,34.9593495934959,64,72.578125,34.375,697.354786937556,0.317501333257418,16.2397463125127
USDCLP,12-Apr-2002,31-Jan-2020,8.36135421167739,130,35.7307692307692,37.6923076923077,61,76.1475409836066,42.6229508196721,238817.640819426,0.315648864363111,15.7246139935414
USDCOP,11-Apr-2002,31-Jan-2020,11.2191462101315,110,42.2272727272727,48.1818181818182,64,72.578125,42.1875,1307571.41921693,0.366415538598743,17.6049047596761
USDCZK,12-Apr-2002,31-Jan-2020,3.93209798564353,118,39.364406779661,40.6779661016949,67,69.3283582089552,41.7910447761194,4622.03160067636,0.263034160844625,16.7286382325434
USDHUF,12-Apr-2002,31-Jan-2020,0.870469008549968,127,36.5748031496063,33.0708661417323,58,80.0862068965517,39.6551724137931,24176.3061090884,0.0674279966158365,15.454437838583
USDILS,11-Apr-2002,31-Jan-2020,3.67287975778692,120,38.7083333333333,43.3333333333333,60,77.4166666666667,45,598.665735834691,0.25863416763728,17.0843893727371
USDINR,15-Apr-2002,31-Jan-2020,9.63436529288233,107,43.411214953271,38.3177570093458,53,87.6415094339623,49.0566037735849,25774.3832883166,0.292188223042829,19.5121382891154
USDKRW,11-Apr-2002,31-Jan-2020,4.45536750781286,122,38.0737704918033,34.4262295081967,67,69.3283582089552,29.8507462686567,281902.724133997,0.199619251007351,15.30128735939
USDMXN,12-Apr-2002,31-Jan-2020,1.90899355744039,128,36.2890625,36.71875,58,80.0862068965517,36.2068965517241,1149.25876444171,0.11401602383049,15.4149632196178
USDMYR,15-Apr-2002,31-Jan-2020,25.6038901956834,99,46.9191919191919,39.3939393939394,51,91.078431372549,45.0980392156863,10509.1754728736,0.838196256439781,19.9990833956688
USDPHP,12-Apr-2002,31-Jan-2020,0.291852871991116,102,45.5392156862745,35.2941176470588,55,84.4545454545455,41.8181818181818,3857.498908223,0.025042570993255,19.5022521615334
USDPLN,15-Apr-2002,31-Jan-2020,2.53480456175075,124,37.4596774193548,35.4838709677419,64,72.578125,32.8125,488.389885009181,0.167711503980055,15.849134097317
USDRON,12-Apr-2002,31-Jan-2020,1.65381031237068,110,42.2272727272727,34.5454545454545,64,72.578125,34.375,325.728547633099,0.122726582449487,17.0599102770709
USDSGD,15-Apr-2002,31-Jan-2020,4.91005989538642,121,38.3884297520661,40.495867768595,59,78.728813559322,35.5932203389831,242.011174826465,0.370922570692098,17.7594070360498
USDTHB,12-Apr-2002,31-Jan-2020,13.3876137996896,82,56.6463414634146,54.8780487804878,52,89.3269230769231,53.8461538461538,21172.5269711564,0.652576648138396,25.2523748654467
USDTRY,12-Apr-2002,31-Jan-2020,3.71171268168025,117,39.7008547008547,39.3162393162393,65,71.4615384615385,35.3846153846154,180.505287564891,0.238556936040916,16.4757910843438
USDTWD,19-Apr-2002,31-Jan-2020,13.9483376907829,85,54.6470588235294,48.2352941176471,47,98.8297872340426,63.8297872340426,18156.7627513136,0.673900703002511,24.3293914631439
USDZAR,12-Apr-2002,31-Jan-2020,-1.72470677447071,128,36.2890625,31.25,66,70.3787878787879,28.7878787878788,919.394197756175,-0.11473762039198,14.6521080958586
