code,start_time,end_time,volatility,sharpe_ratio,holding_period
Portfolio,11-Apr-2002,31-Jan-2020,0.0140620814817119,1.0567191244679,16.1293017077086
AUDUSD,15-Apr-2002,31-Jan-2020,0.00792810714645841,0.304582679939303,14.9234880719571
EURUSD,15-Apr-2002,31-Jan-2020,0.00834297755693776,0.400325737848519,14.9967707212056
GBPUSD,15-Apr-2002,31-Jan-2020,0.00881937505466171,-0.0313072290388009,12.8023476582109
NZDUSD,15-Apr-2002,31-Jan-2020,0.00797141682768998,0.292989816852535,16.0724198587519
USDCAD,15-Apr-2002,31-Jan-2020,0.00782773960959785,0.157953452638933,14.9559075857255
USDCHF,15-Apr-2002,31-Jan-2020,0.0106790188266493,-0.042721498184414,13.7878473671492
USDJPY,15-Apr-2002,31-Jan-2020,0.00881269796019135,0.206462993751179,13.1570653450848
USDNOK,15-Apr-2002,31-Jan-2020,0.00875738649609214,0.375516589270443,15.2555705792464
USDSEK,15-Apr-2002,31-Jan-2020,0.00786336148385109,0.217970980854772,14.6929400416591
USDBRL,12-Apr-2002,31-Jan-2020,0.0121948260221006,0.455908550314331,15.4857958534188
USDCLP,12-Apr-2002,31-Jan-2020,0.0101703610093239,0.568543088883696,14.6334537293744
USDCOP,11-Apr-2002,31-Jan-2020,0.00907575541645148,0.723382847561602,17.0813658302529
USDCZK,12-Apr-2002,31-Jan-2020,0.00753833396436254,0.251529611810499,15.7656269012964
USDHUF,12-Apr-2002,31-Jan-2020,0.00760543219717532,0.0150496931241481,14.0449756727664
USDILS,11-Apr-2002,31-Jan-2020,0.00733271496916018,0.394803684880703,16.7449657081347
USDINR,15-Apr-2002,31-Jan-2020,0.00922844680617044,0.718756276157483,19.3750225760542
USDKRW,11-Apr-2002,31-Jan-2020,0.0118098779981002,0.305478148462245,14.8954226816285
USDMXN,12-Apr-2002,31-Jan-2020,0.00935795864306913,0.108480392931628,14.3147258062138
USDMYR,15-Apr-2002,31-Jan-2020,0.010030425876185,0.767120728138504,16.5944333384592
USDPHP,12-Apr-2002,31-Jan-2020,0.00629707436449374,0.098632953377747,18.8185284211257
USDPLN,15-Apr-2002,31-Jan-2020,0.00815231646273762,0.183174248248725,14.98593294652
USDRON,12-Apr-2002,31-Jan-2020,0.00781504730534298,0.249112007598806,16.5903669634994
USDSGD,15-Apr-2002,31-Jan-2020,0.00788412011819245,0.393095881413698,17.6657116833651
USDTHB,12-Apr-2002,31-Jan-2020,0.00975591697679721,0.893773994002462,24.9788732274989
USDTRY,12-Apr-2002,31-Jan-2020,0.0100500170439884,0.348903436693523,15.6356016420898
USDTWD,19-Apr-2002,31-Jan-2020,0.00851065147123009,0.964805941724945,23.2363757841209
USDZAR,12-Apr-2002,31-Jan-2020,0.00844204902561839,-0.0837955440683625,13.9996101133214
