code,start_time,end_time,annualized_rate_of_return,n_of_transacqtions_of_rule_1,trading_interval_1,odds_1,n_of_transactions_of_rule_2,trading_interval_2,odds_2,volatility,sharpe_ratio,holding_period
AUDUSD,15-Apr-2002,31-Jan-2020,3.07809207423342,127,36.5748031496063,37.7952755905512,64,72.578125,31.25,0.00792810714645841,0.304582679939303,14.9267015706806
EURUSD,15-Apr-2002,31-Jan-2020,4.50853599530547,127,36.5748031496063,35.4330708661417,59,78.728813559322,37.2881355932203,0.00834297755693776,0.400325737848519,15
GBPUSD,15-Apr-2002,31-Jan-2020,-1.40170538369084,146,31.8150684931507,27.3972602739726,72,64.5138888888889,26.3888888888889,0.00881937505466171,-0.0313072290388009,12.8051044083527
NZDUSD,15-Apr-2002,31-Jan-2020,2.93964466712073,124,37.4596774193548,37.0967741935484,61,76.1475409836066,34.4262295081967,0.00797141682768998,0.292989816852535,16.0758807588076
USDCAD,15-Apr-2002,31-Jan-2020,1.19603975128113,129,36.0077519379845,31.0077519379845,57,81.4912280701754,36.8421052631579,0.00782773960959785,0.157953452638933,14.9591280653951
USDCHF,15-Apr-2002,31-Jan-2020,-2.44131364166343,134,34.6641791044776,33.5820895522388,62,74.9193548387097,30.6451612903226,0.0106790188266493,-0.042721498184414,13.7908163265306
USDJPY,15-Apr-2002,31-Jan-2020,1.92572040459047,137,33.9051094890511,32.8467153284672,61,76.1475409836066,31.1475409836066,0.00881269796019135,0.206462993751179,13.1598984771574
USDNOK,15-Apr-2002,31-Jan-2020,4.33204476091127,122,38.0737704918033,37.7049180327869,62,74.9193548387097,35.4838709677419,0.00875738649609214,0.375516589270443,15.2588555858311
USDSEK,15-Apr-2002,31-Jan-2020,1.95609758820474,133,34.9248120300752,34.5864661654135,61,76.1475409836066,34.4262295081967,0.00786336148385109,0.217970980854772,14.6961038961039
USDBRL,12-Apr-2002,31-Jan-2020,7.17504761919765,124,37.4596774193548,34.6774193548387,62,74.9193548387097,33.8709677419355,0.0121948260221006,0.455908550314331,15.4891304347826
USDCLP,12-Apr-2002,31-Jan-2020,8.16436779517626,133,34.9248120300752,37.593984962406,61,76.1475409836066,40.9836065573771,0.0101703610093239,0.568543088883696,14.6366047745358
USDCOP,11-Apr-2002,31-Jan-2020,9.80065522541682,109,42.6146788990826,48.6238532110092,63,73.7301587301587,42.8571428571429,0.00907575541645148,0.723382847561602,17.0850439882698
USDCZK,12-Apr-2002,31-Jan-2020,2.3141973761456,120,38.7083333333333,40.8333333333333,66,70.3787878787879,37.8787878787879,0.00753833396436254,0.251529611810499,15.7690217391304
USDHUF,12-Apr-2002,31-Jan-2020,-0.539452312682032,132,35.1893939393939,31.0606060606061,57,81.4912280701754,38.5964912280702,0.00760543219717532,0.0150496931241481,14.048
USDILS,11-Apr-2002,31-Jan-2020,3.98203348202104,120,38.7083333333333,43.3333333333333,57,81.4912280701754,43.859649122807,0.00733271496916018,0.394803684880703,16.7485714285714
USDINR,15-Apr-2002,31-Jan-2020,9.88436896395815,105,44.2380952380952,40,50,92.9,46,0.00922844680617044,0.718756276157483,19.3791946308725
USDKRW,11-Apr-2002,31-Jan-2020,4.04082862028661,123,37.7642276422764,34.9593495934959,63,73.7301587301587,28.5714285714286,0.0118098779981002,0.305478148462245,14.8986301369863
USDMXN,12-Apr-2002,31-Jan-2020,0.515839493161896,129,36.0077519379845,35.6589147286822,56,82.9464285714286,33.9285714285714,0.00935795864306913,0.108480392931628,14.3178082191781
USDMYR,15-Apr-2002,31-Jan-2020,11.4777406773422,101,45.990099009901,38.6138613861386,49,94.7959183673469,46.9387755102041,0.010030425876185,0.767120728138504,16.5980066445183
USDPHP,12-Apr-2002,31-Jan-2020,0.486685977258272,103,45.0970873786408,35.9223300970874,53,87.6415094339623,39.622641509434,0.00629707436449374,0.098632953377747,18.8225806451613
USDPLN,15-Apr-2002,31-Jan-2020,1.54304413722379,128,36.2890625,34.375,59,78.728813559322,33.8983050847458,0.00815231646273762,0.183174248248725,14.9891598915989
USDRON,12-Apr-2002,31-Jan-2020,2.34109158056968,112,41.4732142857143,31.25,54,86.0185185185185,37.037037037037,0.00781504730534298,0.249112007598806,16.5939393939394
USDSGD,15-Apr-2002,31-Jan-2020,4.20736534901121,121,38.3884297520661,41.3223140495868,56,82.9464285714286,35.7142857142857,0.00788412011819245,0.393095881413698,17.6695156695157
USDTHB,12-Apr-2002,31-Jan-2020,13.4214400703487,80,58.0625,55,50,92.9,54,0.00975591697679721,0.893773994002462,24.9842519685039
USDTRY,12-Apr-2002,31-Jan-2020,4.38957558910253,120,38.7083333333333,38.3333333333333,55,84.4545454545455,38.1818181818182,0.0100500170439884,0.348903436693523,15.6389684813754
USDTWD,19-Apr-2002,31-Jan-2020,12.835746825741,86,54.0116279069767,46.5116279069767,47,98.8297872340426,59.5744680851064,0.00851065147123009,0.964805941724945,23.2413793103448
USDZAR,12-Apr-2002,31-Jan-2020,-1.97884375368784,131,35.4580152671756,30.5343511450382,62,74.9193548387097,29.0322580645161,0.00844204902561839,-0.0837955440683625,14.002624671916
